顧客ID,購入額,購入頻度,購入取引数,支払額,最低支払額,一括購入額,一括購入の頻度,分割購入額,分割購入の頻度,カードキャッシング金額,カードキャッシングの頻度,カードキャッシング取引数,クレジット限度額
C10001,95.4,0.166667,2,201.802084,139.509787,0.0,0.0,95.4,0.083333,0.0,0.0,0,1000.0
C10002,0.0,0.0,0,4103.032597,1072.340217,0.0,0.0,0.0,0.0,6442.945483,0.25,4,7000.0
C10003,773.17,1.0,12,622.066742,627.284787,773.17,1.0,0.0,0.0,0.0,0.0,0,7500.0
C10004,0.0,0.0,0,0.0,,0.0,0.0,0.0,0.0,205.788017,0.083333,1,7500.0
C10005,16.0,0.083333,1,678.334763,244.791237,16.0,0.083333,0.0,0.0,0.0,0.0,0,1200.0
C10006,1333.28,0.666667,8,1400.05777,2407.246035,0.0,0.0,1333.28,0.583333,0.0,0.0,0,1800.0
C10007,7091.01,1.0,64,6354.314328,198.065894,6402.63,1.0,688.38,1.0,0.0,0.0,0,13500.0
C10008,436.2,1.0,12,679.065082,532.03399,0.0,0.0,436.2,1.0,0.0,0.0,0,2300.0
C10009,861.49,0.333333,5,688.278568,311.963409,661.49,0.083333,200.0,0.25,0.0,0.0,0,7000.0
C10010,1281.6,0.166667,3,1164.770591,100.302262,1281.6,0.166667,0.0,0.0,0.0,0.0,0,11000.0
C10011,920.12,1.0,12,1083.301007,2172.697765,0.0,0.0,920.12,1.0,0.0,0.0,0,1200.0
C10012,1492.18,0.25,6,705.618627,155.549069,1492.18,0.25,0.0,0.0,0.0,0.0,0,2000.0
C10013,3217.99,1.0,26,608.263689,490.207013,2500.23,0.25,717.76,0.916667,0.0,0.0,0,3000.0
C10014,2137.93,0.75,26,1655.891435,251.137986,419.96,0.166667,1717.97,0.75,0.0,0.0,0,7500.0
C10015,0.0,0.0,0,805.647974,989.962866,0.0,0.0,0.0,0.0,346.81139,0.083333,1,3000.0
C10016,1611.7,0.5,11,1993.439277,2109.90649,0.0,0.0,1611.7,0.5,2301.491267,0.166667,4,8000.0
C10017,0.0,0.0,0,391.974562,376.579631,0.0,0.0,0.0,0.0,2784.274703,0.25,3,3000.0
C10018,519.0,0.416667,8,254.590662,73.203221,0.0,0.0,519.0,0.333333,0.0,0.0,0,2500.0
C10019,504.35,0.666667,9,1720.837373,744.613395,166.0,0.083333,338.35,0.583333,0.0,0.0,0,13000.0
C10020,398.64,1.0,12,1053.980464,12465.54938,0.0,0.0,398.64,1.0,0.0,0.0,0,4000.0
C10021,176.68,0.666667,8,223.0686,13557.29726,0.0,0.0,176.68,0.666667,0.0,0.0,0,2000.0
C10022,6359.95,1.0,92,2077.959051,1659.775075,5910.04,0.916667,449.91,1.0,229.028245,0.333333,6,11250.0
C10023,815.9,1.0,17,2359.629958,86.329554,0.0,0.0,815.9,1.0,0.0,0.0,0,1800.0
C10024,4248.35,1.0,13,9479.043842,1425.426525,3454.56,0.083333,793.79,0.916667,7974.415626,0.333333,13,9000.0
C10025,0.0,0.0,0,1422.726707,1657.002877,0.0,0.0,0.0,0.0,798.949863,0.363636,4,6000.0
C10026,399.6,1.0,12,215.306142,163.005536,0.0,0.0,399.6,1.0,0.0,0.0,0,3000.0
C10027,102.0,0.166667,2,890.178845,971.183209,102.0,0.166667,0.0,0.0,244.840485,0.25,5,1700.0
C10028,233.28,1.0,12,207.773715,164.748819,0.0,0.0,233.28,1.0,0.0,0.0,0,1000.0
C10029,387.05,0.666667,8,1601.448347,1648.851345,204.55,0.166667,182.5,0.416667,2236.145259,0.833333,16,10500.0
C10030,100.0,0.416667,5,160.767773,159.684442,0.0,0.0,100.0,0.416667,0.0,0.0,0,6900.0
C10031,3038.01,1.0,64,4230.323491,3292.01503,1013.2,0.166667,2024.81,1.0,3183.583301,0.5,10,13000.0
C10032,1347.71,1.0,45,645.998299,256.848991,400.0,0.083333,947.71,1.0,175.815755,0.166667,2,6000.0
C10033,324.95,0.083333,3,1720.118876,2506.745366,324.95,0.083333,0.0,0.0,1189.533753,0.166667,3,10500.0
C10034,636.79,0.916667,11,423.449696,196.301885,636.79,0.916667,0.0,0.0,0.0,0.0,0,1200.0
C10035,547.28,1.0,14,8735.607835,17862.55831,0.0,0.0,547.28,1.0,0.0,0.0,0,11000.0
C10036,0.0,0.0,0,351.500199,634.569311,0.0,0.0,0.0,0.0,99.264367,0.083333,1,1800.0
C10037,0.0,0.0,0,1636.361601,1986.843608,0.0,0.0,0.0,0.0,8873.375046,0.727273,11,9000.0
C10038,2380.55,0.75,41,1617.894416,1541.141605,1642.17,0.5,738.38,0.75,1697.660901,0.333333,7,5000.0
C10039,204.0,0.083333,2,1237.111661,2049.408839,204.0,0.083333,0.0,0.0,2925.699862,0.333333,12,9000.0
C10040,963.24,0.083333,6,20071.07544,719.948985,963.24,0.083333,0.0,0.0,6173.682877,0.333333,6,7500.0
C10041,0.0,0.0,0,3067.05783,283.333445,0.0,0.0,0.0,0.0,3133.063934,0.25,3,1800.0
C10043,1526.59,0.583333,27,1262.309666,363.142736,786.3,0.416667,740.29,0.333333,2188.419607,0.25,11,3000.0
C10044,203.82,0.083333,1,868.275275,1801.264841,203.82,0.083333,0.0,0.0,0.0,0.0,0,4500.0
C10045,0.0,0.0,0,378.294227,321.354137,0.0,0.0,0.0,0.0,1481.587093,0.083333,1,1500.0
C10046,1525.44,1.0,20,1430.341501,1318.71492,469.8,0.333333,1055.64,1.0,0.0,0.0,0,8500.0
C10047,0.0,0.0,0,0.0,,0.0,0.0,0.0,0.0,184.648692,0.166667,2,2400.0
C10048,109.74,0.375,3,176.013005,147.199792,0.0,0.0,109.74,0.25,1013.659552,0.125,1,1700.0
C10049,0.0,0.0,0,0.0,,0.0,0.0,0.0,0.0,1980.873201,0.5,7,4200.0
C10050,2390.6,1.0,87,2543.953559,175.657825,1402.93,0.666667,987.67,1.0,0.0,0.0,0,3300.0
C10051,507.5,0.166667,3,587.866451,286.448719,507.5,0.166667,0.0,0.0,695.097159,0.083333,2,4000.0
C10052,901.42,0.625,9,8113.297346,1012.415961,646.07,0.375,255.35,0.25,8530.648614,0.875,37,12000.0
C10053,3107.85,0.666667,18,1399.82834,1322.446601,2221.74,0.583333,886.11,0.5,0.0,0.0,0,2500.0
C10054,0.0,0.0,0,691.825279,581.481917,0.0,0.0,0.0,0.0,321.359135,0.25,3,3500.0
C10055,1979.22,0.666667,11,3110.052742,132.446091,1979.22,0.666667,0.0,0.0,1981.265503,0.111111,1,3000.0
C10056,0.0,0.0,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0,1000.0
C10057,0.0,0.0,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0,6000.0
C10058,0.0,0.0,0,0.0,,0.0,0.0,0.0,0.0,668.468743,0.416667,5,4000.0
C10059,5217.62,0.916667,42,5678.729613,1311.514878,4789.09,0.916667,428.53,0.5,0.0,0.0,0,7500.0
C10060,0.0,0.0,0,764.938728,1600.212243,0.0,0.0,0.0,0.0,224.575517,0.181818,3,4000.0
C10061,229.0,0.416667,6,2110.557023,1895.02617,0.0,0.0,229.0,0.333333,970.591332,0.333333,4,6000.0
C10062,113.0,0.166667,2,3509.686561,548.105836,113.0,0.166667,0.0,0.0,0.0,0.0,0,6500.0
C10063,66.2,0.083333,1,338.083661,837.215674,66.2,0.083333,0.0,0.0,0.0,0.0,0,1600.0
C10064,0.0,0.0,0,4372.148648,241.645387,0.0,0.0,0.0,0.0,3819.672466,0.545455,7,4150.0
C10065,0.0,0.0,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0,1600.0
C10067,1887.64,1.0,61,3688.045998,3266.996777,0.0,0.0,1887.64,1.0,1605.949371,0.083333,4,1850.0
C10068,412.33,0.583333,11,777.451648,897.905444,325.21,0.333333,87.12,0.166667,0.0,0.0,0,1800.0
C10069,0.0,0.0,0,146.074769,179.412493,0.0,0.0,0.0,0.0,908.423608,0.125,1,1500.0
C10070,0.0,0.0,0,540.022225,352.883804,0.0,0.0,0.0,0.0,382.908547,0.416667,6,2500.0
C10071,263.5,0.666667,8,6876.836205,1001.607366,190.6,0.083333,72.9,0.583333,0.0,0.0,0,6000.0
C10072,1363.69,0.333333,4,1623.816348,923.505868,1363.69,0.333333,0.0,0.0,0.0,0.0,0,1700.0
C10073,419.1,0.916667,11,1288.214909,2180.881868,0.0,0.0,419.1,0.833333,625.399386,0.333333,4,6250.0
C10074,4523.27,0.666667,33,28232.69446,1107.030803,1664.09,0.5,2859.18,0.583333,27296.48576,0.833333,27,7000.0
C10075,0.0,0.0,0,910.457985,140.983193,0.0,0.0,0.0,0.0,1474.349901,0.125,3,7000.0
C10077,713.9,0.5,8,889.017418,622.757696,503.08,0.1,210.82,0.4,0.0,0.0,0,2250.0
C10078,791.94,0.272727,7,1305.177304,175.510344,516.64,0.090909,275.3,0.181818,0.0,0.0,0,6000.0
C10079,561.87,0.833333,14,1990.044998,2161.428274,249.5,0.166667,312.37,0.75,0.0,0.0,0,6000.0
C10080,606.11,1.0,17,2959.920544,623.656993,606.11,1.0,0.0,0.0,0.0,0.0,0,11000.0
C10081,320.0,0.75,8,1438.910569,190.186542,0.0,0.0,320.0,0.666667,0.0,0.0,0,1500.0
C10082,0.0,0.0,0,29.278671,8242.687678,0.0,0.0,0.0,0.0,38.325801,0.083333,1,1200.0
C10083,388.66,0.583333,7,1624.583114,2503.40234,388.66,0.583333,0.0,0.0,4621.93458,0.416667,7,7000.0
C10084,244.85,0.666667,13,357.802082,121.523416,40.21,0.166667,204.64,0.583333,0.0,0.0,0,5000.0
C10085,0.0,0.0,0,116.569033,164.692136,0.0,0.0,0.0,0.0,2985.300006,0.166667,5,9500.0
C10086,133.05,0.416667,5,210.053432,99.533735,28.2,0.166667,104.85,0.25,0.0,0.0,0,12000.0
C10087,396.0,0.5,12,725.606194,140.809454,0.0,0.0,396.0,0.416667,0.0,0.0,0,1200.0
C10088,4915.6,1.0,50,4921.066897,594.756686,4515.34,1.0,400.26,0.333333,293.844792,0.083333,1,9000.0
C10089,1247.8,1.0,22,1275.229436,171.357189,1247.8,1.0,0.0,0.0,0.0,0.0,0,16500.0
C10090,1603.78,1.0,23,4589.873897,1876.262988,1445.14,0.833333,158.64,1.0,5626.004046,0.75,23,11000.0
C10092,2258.01,1.0,60,3021.575846,2074.581541,1318.78,0.75,939.23,1.0,5251.228934,0.75,21,13500.0
C10093,45.0,0.083333,1,1073.844885,968.941265,45.0,0.083333,0.0,0.0,104.238064,0.083333,1,4500.0
C10094,0.0,0.0,0,1502.205631,2864.380327,0.0,0.0,0.0,0.0,2717.253917,0.416667,14,6500.0
